Code,Date,CompanyName,CompanyNameEnglish,Sector17Code,Sector17CodeName,Sector33Code,Sector33CodeName,ScaleCategory,MarketCode,MarketCodeName
15630,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　東証グロース・コアＥＴＦ,TSE Growth Core ETF,99,その他,9999,その他,-,109,その他
15660,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンド新興国債券,Listed Index Fund Emerging Bond,99,その他,9999,その他,-,109,その他
15680,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　ＴＯＰＩＸブル２倍上場投信,TOPIX Bull 2x ETF,99,その他,9999,その他,-,109,その他
15690,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　ＴＯＰＩＸベア上場投信,TOPIX Bear -1x ETF,99,その他,9999,その他,-,109,その他
15700,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ日経平均レバレッジ・インデックス連動型上場投信,NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund,99,その他,9999,その他,-,109,その他
15710,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ日経平均インバース・インデックス連動型上場投信,NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund,99,その他,9999,その他,-,109,その他
15720,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　中国Ｈ株ブル２倍上場投信,China Bull 2x HSCEI ETF,99,その他,9999,その他,-,109,その他
15730,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　中国Ｈ株ベア上場投信,China Bear -1x HSCEI ETF,99,その他,9999,その他,-,109,その他
15770,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,NEXT FUNDS Nomura Japan Equity High Dividend 70 ETF,99,その他,9999,その他,-,109,その他
15780,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンド日経２２５（ミニ）,Listed Index Fund Nikkei 225 (Mini),99,その他,9999,その他,-,109,その他
15790,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　日経平均ブル２倍上場投信,Nikkei 225 Bull 2x ETF,99,その他,9999,その他,-,109,その他
15800,2023-03-14 00:00:00+00:00,シンプレクス・アセット・マネジメント株式会社　日経平均ベア上場投信,Nikkei 225 Bear -1x ETF,99,その他,9999,その他,-,109,その他
15850,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ?Ｆｉｎａｎｃｉａｌｓ,Daiwa ETF TOPIX Ex-Financials,99,その他,9999,その他,-,109,その他
15860,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンドＴＯＰＩＸ　Ｅｘ?Ｆｉｎａｎｃｉａｌｓ,Listed Index Fund TOPIX Ex-Financials,99,その他,9999,その他,-,109,その他
15910,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,NEXT FUNDS JPX-Nikkei Index 400 Exchange Traded Fund,99,その他,9999,その他,-,109,その他
15920,2023-03-14 00:00:00+00:00,日興アセットマネジメント株式会社　上場インデックスファンドＪＰＸ日経インデックス４００,Listed Index Fund JPX-Nikkei Index 400,99,その他,9999,その他,-,109,その他
15930,2023-03-14 00:00:00+00:00,三菱ＵＦＪ国際投信株式会社　ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,MAXIS JPX-Nikkei Index 400 ETF,99,その他,9999,その他,-,109,その他
15950,2023-03-14 00:00:00+00:00,農林中金全共連アセットマネジメント株式会社　ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,NZAM ETF J-REIT Index,99,その他,9999,その他,-,109,その他
15960,2023-03-14 00:00:00+00:00,農林中金全共連アセットマネジメント株式会社　ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ?Ｆｉｎａｎｃｉａｌｓ,NZAM ETF TOPIX Ex-Financials,99,その他,9999,その他,-,109,その他
15970,2023-03-14 00:00:00+00:00,三菱ＵＦＪ国際投信株式会社　ＭＡＸＩＳ　Ｊリート上場投信,MAXIS J-REIT ETF,99,その他,9999,その他,-,109,その他
15990,2023-03-14 00:00:00+00:00,大和アセットマネジメント株式会社　ダイワ上場投信?ＪＰＸ日経４００,Daiwa ETF JPX-Nikkei 400,99,その他,9999,その他,-,109,その他
16150,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,NEXT FUNDS TOPIX Banks Exchange Traded Fund,99,その他,9999,その他,-,109,その他
16170,2023-03-14 00:00:00+00:00,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ?１７）上場投信,NEXT FUNDS TOPIX-17 FOODS ETF,99,その他,9999,その他,-,109,その他
